id_treatment,id_inoc,id_faeces,starting_date,species,material,mass,hydration,production_date,forming_date,colection_date,total-weight,ph,water_content,sample_weight,dilution_factor_ecoli,dilution_factor_enterococcus,e_coli_counted,enterococcus_counted,comments,inoculum_age,mean_growth_speed,time_period,difference,time_step
8,8,1,2025-04-21T00:00:00Z,P. ostreatus,corn cobs,1.5,80,2025-03-14T00:00:00Z,2025-03-28T00:00:00Z,4.4.2025,125,6.6,0.8,0.89,1000000,10000,123,144,cacao,38,NA,diff_9,NA,9
9,9,1,2025-04-21T00:00:00Z,C. comatus,corn cobs,1.5,80,2025-03-14T00:00:00Z,2025-03-28T00:00:00Z,4.4.2025,125,6.6,0.8,0.89,1000000,10000,123,144,cacao,38,NA,diff_1,NA,1
9,9,1,2025-04-21T00:00:00Z,C. comatus,corn cobs,1.5,80,2025-03-14T00:00:00Z,2025-03-28T00:00:00Z,4.4.2025,125,6.6,0.8,0.89,1000000,10000,123,144,cacao,38,NA,diff_2,NA,2
9,9,1,2025-04-21T00:00:00Z,C. comatus,corn cobs,1.5,80,2025-03-14T00:00:00Z,2025-03-28T00:00:00Z,4.4.2025,125,6.6,0.8,0.89,1000000,10000,123,144,cacao,38,NA,diff_3,NA,3
9,9,1,2025-04-21T00:00:00Z,C. comatus,corn cobs,1.5,80,2025-03-14T00:00:00Z,2025-03-28T00:00:00Z,4.4.2025,125,6.6,0.8,0.89,1000000,10000,123,144,cacao,38,NA,diff_4,NA,4
9,9,1,2025-04-21T00:00:00Z,C. comatus,corn cobs,1.5,80,2025-03-14T00:00:00Z,2025-03-28T00:00:00Z,4.4.2025,125,6.6,0.8,0.89,1000000,10000,123,144,cacao,38,NA,diff_5,NA,5
9,9,1,2025-04-21T00:00:00Z,C. comatus,corn cobs,1.5,80,2025-03-14T00:00:00Z,2025-03-28T00:00:00Z,4.4.2025,125,6.6,0.8,0.89,1000000,10000,123,144,cacao,38,NA,diff_6,NA,6
9,9,1,2025-04-21T00:00:00Z,C. comatus,corn cobs,1.5,80,2025-03-14T00:00:00Z,2025-03-28T00:00:00Z,4.4.2025,125,6.6,0.8,0.89,1000000,10000,123,144,cacao,38,NA,diff_7,NA,7
9,9,1,2025-04-21T00:00:00Z,C. comatus,corn cobs,1.5,80,2025-03-14T00:00:00Z,2025-03-28T00:00:00Z,4.4.2025,125,6.6,0.8,0.89,1000000,10000,123,144,cacao,38,NA,diff_8,NA,8
9,9,1,2025-04-21T00:00:00Z,C. comatus,corn cobs,1.5,80,2025-03-14T00:00:00Z,2025-03-28T00:00:00Z,4.4.2025,125,6.6,0.8,0.89,1000000,10000,123,144,cacao,38,NA,diff_9,NA,9
10,10,1,2025-04-28T00:00:00Z,ctrl,corn cobs,1.5,80,2025-03-14T00:00:00Z,2025-03-28T00:00:00Z,4.4.2025,125,6.6,0.8,0.89,1000000,10000,123,144,cacao,45,NA,diff_1,NA,1
10,10,1,2025-04-28T00:00:00Z,ctrl,corn cobs,1.5,80,2025-03-14T00:00:00Z,2025-03-28T00:00:00Z,4.4.2025,125,6.6,0.8,0.89,1000000,10000,123,144,cacao,45,NA,diff_2,NA,2
10,10,1,2025-04-28T00:00:00Z,ctrl,corn cobs,1.5,80,2025-03-14T00:00:00Z,2025-03-28T00:00:00Z,4.4.2025,125,6.6,0.8,0.89,1000000,10000,123,144,cacao,45,NA,diff_3,NA,3
10,10,1,2025-04-28T00:00:00Z,ctrl,corn cobs,1.5,80,2025-03-14T00:00:00Z,2025-03-28T00:00:00Z,4.4.2025,125,6.6,0.8,0.89,1000000,10000,123,144,cacao,45,NA,diff_4,NA,4
10,10,1,2025-04-28T00:00:00Z,ctrl,corn cobs,1.5,80,2025-03-14T00:00:00Z,2025-03-28T00:00:00Z,4.4.2025,125,6.6,0.8,0.89,1000000,10000,123,144,cacao,45,NA,diff_5,NA,5
10,10,1,2025-04-28T00:00:00Z,ctrl,corn cobs,1.5,80,2025-03-14T00:00:00Z,2025-03-28T00:00:00Z,4.4.2025,125,6.6,0.8,0.89,1000000,10000,123,144,cacao,45,NA,diff_6,NA,6
10,10,1,2025-04-28T00:00:00Z,ctrl,corn cobs,1.5,80,2025-03-14T00:00:00Z,2025-03-28T00:00:00Z,4.4.2025,125,6.6,0.8,0.89,1000000,10000,123,144,cacao,45,NA,diff_7,NA,7
10,10,1,2025-04-28T00:00:00Z,ctrl,corn cobs,1.5,80,2025-03-14T00:00:00Z,2025-03-28T00:00:00Z,4.4.2025,125,6.6,0.8,0.89,1000000,10000,123,144,cacao,45,NA,diff_8,NA,8
10,10,1,2025-04-28T00:00:00Z,ctrl,corn cobs,1.5,80,2025-03-14T00:00:00Z,2025-03-28T00:00:00Z,4.4.2025,125,6.6,0.8,0.89,1000000,10000,123,144,cacao,45,NA,diff_9,NA,9
11,11,1,2025-04-28T00:00:00Z,P. ostreatus,corn cobs,1.5,80,2025-03-14T00:00:00Z,2025-03-28T00:00:00Z,4.4.2025,125,6.6,0.8,0.89,1000000,10000,123,144,cacao,45,NA,diff_1,NA,1
11,11,1,2025-04-28T00:00:00Z,P. ostreatus,corn cobs,1.5,80,2025-03-14T00:00:00Z,2025-03-28T00:00:00Z,4.4.2025,125,6.6,0.8,0.89,1000000,10000,123,144,cacao,45,NA,diff_2,NA,2
11,11,1,2025-04-28T00:00:00Z,P. ostreatus,corn cobs,1.5,80,2025-03-14T00:00:00Z,2025-03-28T00:00:00Z,4.4.2025,125,6.6,0.8,0.89,1000000,10000,123,144,cacao,45,NA,diff_3,NA,3
11,11,1,2025-04-28T00:00:00Z,P. ostreatus,corn cobs,1.5,80,2025-03-14T00:00:00Z,2025-03-28T00:00:00Z,4.4.2025,125,6.6,0.8,0.89,1000000,10000,123,144,cacao,45,NA,diff_4,NA,4
11,11,1,2025-04-28T00:00:00Z,P. ostreatus,corn cobs,1.5,80,2025-03-14T00:00:00Z,2025-03-28T00:00:00Z,4.4.2025,125,6.6,0.8,0.89,1000000,10000,123,144,cacao,45,NA,diff_5,NA,5
11,11,1,2025-04-28T00:00:00Z,P. ostreatus,corn cobs,1.5,80,2025-03-14T00:00:00Z,2025-03-28T00:00:00Z,4.4.2025,125,6.6,0.8,0.89,1000000,10000,123,144,cacao,45,NA,diff_6,NA,6
11,11,1,2025-04-28T00:00:00Z,P. ostreatus,corn cobs,1.5,80,2025-03-14T00:00:00Z,2025-03-28T00:00:00Z,4.4.2025,125,6.6,0.8,0.89,1000000,10000,123,144,cacao,45,NA,diff_7,NA,7
11,11,1,2025-04-28T00:00:00Z,P. ostreatus,corn cobs,1.5,80,2025-03-14T00:00:00Z,2025-03-28T00:00:00Z,4.4.2025,125,6.6,0.8,0.89,1000000,10000,123,144,cacao,45,NA,diff_8,NA,8
11,11,1,2025-04-28T00:00:00Z,P. ostreatus,corn cobs,1.5,80,2025-03-14T00:00:00Z,2025-03-28T00:00:00Z,4.4.2025,125,6.6,0.8,0.89,1000000,10000,123,144,cacao,45,NA,diff_9,NA,9
12,12,1,2025-04-28T00:00:00Z,C. comatus,corn cobs,1.5,80,2025-03-14T00:00:00Z,2025-03-28T00:00:00Z,4.4.2025,125,6.6,0.8,0.89,1000000,10000,123,144,cacao,45,NA,diff_1,NA,1
12,12,1,2025-04-28T00:00:00Z,C. comatus,corn cobs,1.5,80,2025-03-14T00:00:00Z,2025-03-28T00:00:00Z,4.4.2025,125,6.6,0.8,0.89,1000000,10000,123,144,cacao,45,NA,diff_2,NA,2
12,12,1,2025-04-28T00:00:00Z,C. comatus,corn cobs,1.5,80,2025-03-14T00:00:00Z,2025-03-28T00:00:00Z,4.4.2025,125,6.6,0.8,0.89,1000000,10000,123,144,cacao,45,NA,diff_3,NA,3
12,12,1,2025-04-28T00:00:00Z,C. comatus,corn cobs,1.5,80,2025-03-14T00:00:00Z,2025-03-28T00:00:00Z,4.4.2025,125,6.6,0.8,0.89,1000000,10000,123,144,cacao,45,NA,diff_4,NA,4
12,12,1,2025-04-28T00:00:00Z,C. comatus,corn cobs,1.5,80,2025-03-14T00:00:00Z,2025-03-28T00:00:00Z,4.4.2025,125,6.6,0.8,0.89,1000000,10000,123,144,cacao,45,NA,diff_5,NA,5
12,12,1,2025-04-28T00:00:00Z,C. comatus,corn cobs,1.5,80,2025-03-14T00:00:00Z,2025-03-28T00:00:00Z,4.4.2025,125,6.6,0.8,0.89,1000000,10000,123,144,cacao,45,NA,diff_6,NA,6
12,12,1,2025-04-28T00:00:00Z,C. comatus,corn cobs,1.5,80,2025-03-14T00:00:00Z,2025-03-28T00:00:00Z,4.4.2025,125,6.6,0.8,0.89,1000000,10000,123,144,cacao,45,NA,diff_7,NA,7
12,12,1,2025-04-28T00:00:00Z,C. comatus,corn cobs,1.5,80,2025-03-14T00:00:00Z,2025-03-28T00:00:00Z,4.4.2025,125,6.6,0.8,0.89,1000000,10000,123,144,cacao,45,NA,diff_8,NA,8
12,12,1,2025-04-28T00:00:00Z,C. comatus,corn cobs,1.5,80,2025-03-14T00:00:00Z,2025-03-28T00:00:00Z,4.4.2025,125,6.6,0.8,0.89,1000000,10000,123,144,cacao,45,NA,diff_9,NA,9
13,13,1,2025-05-01T00:00:00Z,ctrl,corn cobs,1.5,80,2025-03-14T00:00:00Z,2025-03-28T00:00:00Z,4.4.2025,125,6.6,0.8,0.89,1000000,10000,123,144,cacao,48,NA,diff_1,NA,1
13,13,1,2025-05-01T00:00:00Z,ctrl,corn cobs,1.5,80,2025-03-14T00:00:00Z,2025-03-28T00:00:00Z,4.4.2025,125,6.6,0.8,0.89,1000000,10000,123,144,cacao,48,NA,diff_2,NA,2
