id_treatment,id_inoc,id_faeces,starting_date,species,material,mass,hydration,production_date,forming_date,colection_date,total-weight,ph,water_content,sample_weight,dilution_factor_ecoli,dilution_factor_enterococcus,e_coli_counted,enterococcus_counted,comments,inoculum_age,mean_growth_speed,time_period,difference,time_step
3,3,1,2025-04-01T00:00:00Z,C. comatus,corn cobs,1.5,80,2025-03-14T00:00:00Z,2025-03-28T00:00:00Z,4.4.2025,125,6.6,0.8,0.89,1000000,10000,123,144,cacao,18,0.7777777777777778,diff_4,0.7000000000000002,4
3,3,1,2025-04-01T00:00:00Z,C. comatus,corn cobs,1.5,80,2025-03-14T00:00:00Z,2025-03-28T00:00:00Z,4.4.2025,125,6.6,0.8,0.89,1000000,10000,123,144,cacao,18,0.7777777777777778,diff_5,1.1999999999999997,5
3,3,1,2025-04-01T00:00:00Z,C. comatus,corn cobs,1.5,80,2025-03-14T00:00:00Z,2025-03-28T00:00:00Z,4.4.2025,125,6.6,0.8,0.89,1000000,10000,123,144,cacao,18,0.7777777777777778,diff_6,1,6
3,3,1,2025-04-01T00:00:00Z,C. comatus,corn cobs,1.5,80,2025-03-14T00:00:00Z,2025-03-28T00:00:00Z,4.4.2025,125,6.6,0.8,0.89,1000000,10000,123,144,cacao,18,0.7777777777777778,diff_7,0.6000000000000005,7
3,3,1,2025-04-01T00:00:00Z,C. comatus,corn cobs,1.5,80,2025-03-14T00:00:00Z,2025-03-28T00:00:00Z,4.4.2025,125,6.6,0.8,0.89,1000000,10000,123,144,cacao,18,0.7777777777777778,diff_8,1.1999999999999993,8
3,3,1,2025-04-01T00:00:00Z,C. comatus,corn cobs,1.5,80,2025-03-14T00:00:00Z,2025-03-28T00:00:00Z,4.4.2025,125,6.6,0.8,0.89,1000000,10000,123,144,cacao,18,0.7777777777777778,diff_9,0.40000000000000036,9
4,4,1,2025-04-14T00:00:00Z,ctrl,corn cobs,1.5,80,2025-03-14T00:00:00Z,2025-03-28T00:00:00Z,4.4.2025,125,6.6,0.8,0.89,1000000,10000,123,144,cacao,31,NA,diff_1,NA,1
4,4,1,2025-04-14T00:00:00Z,ctrl,corn cobs,1.5,80,2025-03-14T00:00:00Z,2025-03-28T00:00:00Z,4.4.2025,125,6.6,0.8,0.89,1000000,10000,123,144,cacao,31,NA,diff_2,NA,2
4,4,1,2025-04-14T00:00:00Z,ctrl,corn cobs,1.5,80,2025-03-14T00:00:00Z,2025-03-28T00:00:00Z,4.4.2025,125,6.6,0.8,0.89,1000000,10000,123,144,cacao,31,NA,diff_3,NA,3
4,4,1,2025-04-14T00:00:00Z,ctrl,corn cobs,1.5,80,2025-03-14T00:00:00Z,2025-03-28T00:00:00Z,4.4.2025,125,6.6,0.8,0.89,1000000,10000,123,144,cacao,31,NA,diff_4,NA,4
4,4,1,2025-04-14T00:00:00Z,ctrl,corn cobs,1.5,80,2025-03-14T00:00:00Z,2025-03-28T00:00:00Z,4.4.2025,125,6.6,0.8,0.89,1000000,10000,123,144,cacao,31,NA,diff_5,NA,5
4,4,1,2025-04-14T00:00:00Z,ctrl,corn cobs,1.5,80,2025-03-14T00:00:00Z,2025-03-28T00:00:00Z,4.4.2025,125,6.6,0.8,0.89,1000000,10000,123,144,cacao,31,NA,diff_6,NA,6
4,4,1,2025-04-14T00:00:00Z,ctrl,corn cobs,1.5,80,2025-03-14T00:00:00Z,2025-03-28T00:00:00Z,4.4.2025,125,6.6,0.8,0.89,1000000,10000,123,144,cacao,31,NA,diff_7,NA,7
4,4,1,2025-04-14T00:00:00Z,ctrl,corn cobs,1.5,80,2025-03-14T00:00:00Z,2025-03-28T00:00:00Z,4.4.2025,125,6.6,0.8,0.89,1000000,10000,123,144,cacao,31,NA,diff_8,NA,8
4,4,1,2025-04-14T00:00:00Z,ctrl,corn cobs,1.5,80,2025-03-14T00:00:00Z,2025-03-28T00:00:00Z,4.4.2025,125,6.6,0.8,0.89,1000000,10000,123,144,cacao,31,NA,diff_9,NA,9
5,5,1,2025-04-14T00:00:00Z,P. ostreatus,corn cobs,1.5,80,2025-03-14T00:00:00Z,2025-03-28T00:00:00Z,4.4.2025,125,6.6,0.8,0.89,1000000,10000,123,144,cacao,31,NA,diff_1,NA,1
5,5,1,2025-04-14T00:00:00Z,P. ostreatus,corn cobs,1.5,80,2025-03-14T00:00:00Z,2025-03-28T00:00:00Z,4.4.2025,125,6.6,0.8,0.89,1000000,10000,123,144,cacao,31,NA,diff_2,NA,2
5,5,1,2025-04-14T00:00:00Z,P. ostreatus,corn cobs,1.5,80,2025-03-14T00:00:00Z,2025-03-28T00:00:00Z,4.4.2025,125,6.6,0.8,0.89,1000000,10000,123,144,cacao,31,NA,diff_3,NA,3
5,5,1,2025-04-14T00:00:00Z,P. ostreatus,corn cobs,1.5,80,2025-03-14T00:00:00Z,2025-03-28T00:00:00Z,4.4.2025,125,6.6,0.8,0.89,1000000,10000,123,144,cacao,31,NA,diff_4,NA,4
5,5,1,2025-04-14T00:00:00Z,P. ostreatus,corn cobs,1.5,80,2025-03-14T00:00:00Z,2025-03-28T00:00:00Z,4.4.2025,125,6.6,0.8,0.89,1000000,10000,123,144,cacao,31,NA,diff_5,NA,5
5,5,1,2025-04-14T00:00:00Z,P. ostreatus,corn cobs,1.5,80,2025-03-14T00:00:00Z,2025-03-28T00:00:00Z,4.4.2025,125,6.6,0.8,0.89,1000000,10000,123,144,cacao,31,NA,diff_6,NA,6
5,5,1,2025-04-14T00:00:00Z,P. ostreatus,corn cobs,1.5,80,2025-03-14T00:00:00Z,2025-03-28T00:00:00Z,4.4.2025,125,6.6,0.8,0.89,1000000,10000,123,144,cacao,31,NA,diff_7,NA,7
5,5,1,2025-04-14T00:00:00Z,P. ostreatus,corn cobs,1.5,80,2025-03-14T00:00:00Z,2025-03-28T00:00:00Z,4.4.2025,125,6.6,0.8,0.89,1000000,10000,123,144,cacao,31,NA,diff_8,NA,8
5,5,1,2025-04-14T00:00:00Z,P. ostreatus,corn cobs,1.5,80,2025-03-14T00:00:00Z,2025-03-28T00:00:00Z,4.4.2025,125,6.6,0.8,0.89,1000000,10000,123,144,cacao,31,NA,diff_9,NA,9
6,6,1,2025-04-14T00:00:00Z,C. comatus,corn cobs,1.5,80,2025-03-14T00:00:00Z,2025-03-28T00:00:00Z,4.4.2025,125,6.6,0.8,0.89,1000000,10000,123,144,cacao,31,NA,diff_1,NA,1
6,6,1,2025-04-14T00:00:00Z,C. comatus,corn cobs,1.5,80,2025-03-14T00:00:00Z,2025-03-28T00:00:00Z,4.4.2025,125,6.6,0.8,0.89,1000000,10000,123,144,cacao,31,NA,diff_2,NA,2
6,6,1,2025-04-14T00:00:00Z,C. comatus,corn cobs,1.5,80,2025-03-14T00:00:00Z,2025-03-28T00:00:00Z,4.4.2025,125,6.6,0.8,0.89,1000000,10000,123,144,cacao,31,NA,diff_3,NA,3
6,6,1,2025-04-14T00:00:00Z,C. comatus,corn cobs,1.5,80,2025-03-14T00:00:00Z,2025-03-28T00:00:00Z,4.4.2025,125,6.6,0.8,0.89,1000000,10000,123,144,cacao,31,NA,diff_4,NA,4
6,6,1,2025-04-14T00:00:00Z,C. comatus,corn cobs,1.5,80,2025-03-14T00:00:00Z,2025-03-28T00:00:00Z,4.4.2025,125,6.6,0.8,0.89,1000000,10000,123,144,cacao,31,NA,diff_5,NA,5
6,6,1,2025-04-14T00:00:00Z,C. comatus,corn cobs,1.5,80,2025-03-14T00:00:00Z,2025-03-28T00:00:00Z,4.4.2025,125,6.6,0.8,0.89,1000000,10000,123,144,cacao,31,NA,diff_6,NA,6
6,6,1,2025-04-14T00:00:00Z,C. comatus,corn cobs,1.5,80,2025-03-14T00:00:00Z,2025-03-28T00:00:00Z,4.4.2025,125,6.6,0.8,0.89,1000000,10000,123,144,cacao,31,NA,diff_7,NA,7
